,words,freq
0, html  html ,0
1,covid 19 ,0
2,suppression religion,0
3,reactance,1
4,covid 19,0
5,guidelines the,0
6,consequences,2
7,physical,1
8,distancing ,0
9,prevention,2
10,interventioncovid 19,0
11,geriatric,1
12,populationa,0
13,framework,1
14,identifying,1
15,mitigating,1
16,interventionsonline,0
17,recovery,1
18,support,3
19,meetings,1
20,mitigate,1
21,individuals,1
22,substance,1
23,disorderpsychological,0
24,distress ,0
25,behaviors ,0
26,preferences,1
27,healthcare,1
28,workers,1
29,pandemicadaptation,0
30,evidence based,0
31,suicide,1
32,strategies,1
33,pandemicmanaging,0
34,crisis ,0
35,guidelines pdf  pdf ,0
36,tourism ,0
37,overview,1
38,impacts,1
39,implications there,0
40,gilead  ,0
41,workers ,0
42,counterstory,0
43,crisis pdf  pdf ,0
44,psychological,0
45,leaders,1
46,covid 19  html  html ,0
47,disaster ,0
48,perspective,1
49,islamic,0
50,education neurosciencerecommendations,0
51,leverage,1
52,palliative,1
53,nursing,1
54,criseseffects,0
55,spirituality ,0
56,knowledge ,0
57,attitudes ,0
58,anxiety,0
59,regarding,0
60,general,0
61,population,0
62,indonesia ,0
63,cross sectional,0
64,pandemic,2
65,surgeons,1
66,worldwidepositive,0
67,mindfulness,1
68,meditation,1
69,teachers,1
70,outbreak,1
71,italybereavement,0
72,frontline,1
73,recommendations,1
74,hospital,1
75,cliniciansdeveloping,0
76,measure,1
77,distancing,1
78,household,1
79,conflict,1
80,cohesionmitigating,0
81,clinicians,1
