,words,freq
0,COVID-19,447
1,Information,16
2,Public,40
3,health,404
4,information,58
5,(CDC),2
6,Research,34
7,(NIH),2
8,SARS-CoV-2,26
9,data,162
10,(NCBI),2
11,Prevention,4
12,and,2601
13,treatment,40
14,(HHS),2
15,Español,4
16,The,426
17,ongoing,16
18,coronavirus,40
19,disease,90
20,2019,38
21,(COVID-19),22
22,pandemic,188
23,poses,4
24,a,950
25,severe,38
26,threat,4
27,to,2060
28,public,90
29,worldwide.,6
30,We,124
31,combine,6
32,on,549
33,"demography,",6
34,contact,75
35,"patterns,",4
36,"severity,",6
37,care,228
38,capacity,102
39,quality,76
40,understand,52
41,its,56
42,impact,164
43,inform,20
44,strategies,116
45,for,864
46,control.,4
47,Younger,4
48,populations,42
49,in,1571
50,lower-income,38
51,countries,172
52,may,174
53,reduce,30
54,overall,26
55,"risk,",4
56,but,88
57,limited,26
58,system,54
59,coupled,12
60,with,505
61,closer,6
62,intergenerational,6
63,largely,10
64,negates,4
65,this,353
66,benefit.,4
67,Mitigation,4
68,that,657
69,slow,8
70,do,69
71,not,279
72,interrupt,4
73,transmission,58
74,will,156
75,still,24
76,lead,24
77,epidemics,30
78,rapidly,8
79,overwhelming,6
80,"systems,",14
81,substantial,12
82,excess,24
83,deaths,86
84,resulting,16
85,from,292
86,the,3471
87,poorer,14
88,available.,20
89,Of,12
90,have,324
91,undertaken,8
92,suppression,118
93,"date,",4
94,acted,6
95,earlier.,4
96,"However,",64
97,need,88
98,be,506
99,maintained,8
100,or,350
101,triggered,6
102,more,159
103,frequently,4
104,these,160
105,settings,78
106,keep,12
107,below,16
108,available,56
109,"capacity,",14
110,associated,24
111,detrimental,6
112,consequences,290
113,wider,20
114,"health,",12
115,"well-being,",4
116,economies,6
117,of,2684
118,countries.,18
119,Copyright,8
120,©,15
121,2020,299
122,"Authors,",2
123,some,70
124,rights,15
125,reserved;,2
126,exclusive,2
127,licensee,2
128,American,19
129,Association,21
130,Advancement,9
131,Science.,16
132,No,16
133,claim,2
134,original,12
135,U.S.,12
136,Government,4
137,Works.,2
138,Fig.,26
139,1.,28
140,"Demographic,",4
141,"societal,",4
142,mixing,12
