,words,freq,labels
0, html  html ,0,1
1,covid 19 ,0,1
2,suppression religion,0,1
3,reactance,1,0
4,covid 19,0,1
5,guidelines the,0,1
6,consequences,2,0
7,physical,1,0
8,distancing ,0,1
9,prevention,2,0
10,interventioncovid 19,0,1
11,geriatric,1,0
12,populationa,0,1
13,framework,1,0
14,identifying,1,0
15,mitigating,1,0
16,interventionsonline,0,1
17,recovery,1,0
18,support,3,0
19,meetings,1,0
20,mitigate,1,0
21,individuals,1,0
22,substance,1,0
23,disorderpsychological,0,1
24,distress ,0,1
25,behaviors ,0,1
26,preferences,1,0
27,healthcare,1,0
28,workers,1,0
29,pandemicadaptation,0,1
30,evidence based,0,1
31,suicide,1,0
32,strategies,1,0
33,pandemicmanaging,0,1
34,crisis ,0,1
35,guidelines pdf  pdf ,0,1
36,tourism ,0,1
37,overview,1,0
38,impacts,1,0
39,implications there,0,1
40,gilead  ,0,1
41,workers ,0,1
42,counterstory,0,1
43,crisis pdf  pdf ,0,1
44,psychological,0,1
45,leaders,1,0
46,covid 19  html  html ,0,1
47,disaster ,0,1
48,perspective,1,0
49,islamic,0,1
50,education neurosciencerecommendations,0,1
51,leverage,1,0
52,palliative,1,0
53,nursing,1,0
54,criseseffects,0,1
55,spirituality ,0,1
56,knowledge ,0,1
57,attitudes ,0,1
58,anxiety,0,1
59,regarding,0,1
60,general,0,1
61,population,0,1
62,indonesia ,0,1
63,cross sectional,0,1
64,pandemic,2,0
65,surgeons,1,0
66,worldwidepositive,0,1
67,mindfulness,1,0
68,meditation,1,0
69,teachers,1,0
70,outbreak,1,0
71,italybereavement,0,1
72,frontline,1,0
73,recommendations,1,0
74,hospital,1,0
75,cliniciansdeveloping,0,1
76,measure,1,0
77,distancing,1,0
78,household,1,0
79,conflict,1,0
80,cohesionmitigating,0,1
81,clinicians,1,0
