,words,freq
0,Washington:,2
1,A,42
2,multi-institutional,2
3,study,42
4,suggests,2
5,that,162
6,prioritizing,8
7,vaccine,76
8,delivery,8
9,to,502
10,older,10
11,age,28
12,groups,12
13,and,534
14,the,1126
15,medically,2
16,vulnerable,4
17,has,44
18,greatest,4
19,impact,36
20,in,414
21,minimizing,4
22,loss,2
23,of,802
24,life.,2
25,Strategic,2
26,is,182
27,critical,12
28,reducing,8
29,COVID-19,108
30,"transmission,",6
31,mortality,12
32,long-term,2
33,health,56
34,impacts,6
35,affirm,2
36,a,304
37,published,6
38,PLOS,2
39,Computational,2
40,Biology,2
41,by,128
42,Sam,2
43,"Moore,",2
44,Matt,2
45,Keeling,2
46,colleagues,2
47,at,74
48,University,4
49,"Warwick,",2
50,United,8
51,Kingdom.,6
52,While,6
53,people,6
54,are,116
55,more,48
56,likely,16
57,experience,6
58,serious,2
59,outcomes,6
60,related,8
61,"infections,",6
62,younger,8
63,contribute,4
64,significantly,10
65,disease,22
66,transmission,12
67,spread.,4
68,Also,8
69,Read:Â,6
70,Vaccine,4
71,FAQs:,2
72,Should,2
73,Women,2
74,Avoid,2
75,COVID,4
76,During,2
77,Periods?,2
78,How,2
79,To,22
80,Use,2
81,Pulse,2
82,Oximeter?,2
83,In,70
84,order,2
85,test,8
86,efficacy,8
87,different,16
88,vaccination,162
89,strategies,30
90,on,104
91,deaths,60
92,"hospitalisations,",2
93,researchers,2
94,built,2
95,an,68
96,age-structured,2
97,model,18
98,simulated,14
99,spread,8
100,SARS-CoV-2,14
101,within,22
102,regions,4
103,The,126
104,authors,16
105,then,8
106,used,10
107,multiple,4
108,"scenarios,",6
109,including,8
110,variations,2
111,using,24
112,observational,2
113,data,12
114,comorbidities,2
115,social-distancing,2
116,measures,18
117,models,2
118,showed,14
119,first,16
120,most,50
121,effectively,2
122,mitigated,2
123,lost,6
124,quality,8
125,life,4
126,"years,",8
127,despite,2
128,significant,18
129,role,4
130,Vaccination:,2
131,Dos,2
132,And,2
